Comment,Description,Designator,Footprint,LibRef,Value,Quantity,,PN,,Board Quantity,,5,,Quantity
,,,,,,,,,,,,,,
Cap,,"S_C1, S_C7, S_C10",C0603,Cap,10uF,3,,GRM188R61C106MA73D,,,,,,15
Cap,,S_C2,C0603,Cap,2.2uF,1,,CL10A225KP8NNNC,,,,,,5
Cap,,"S_C3, S_C6, S_C13",C0603,Cap,1uF,3,,CL10A105KO8NNNC,,,,,,15
Cap,,S_C4,C0603,Cap,10nF,1,,CL10B103KA8WPNC,,,,,,5
Cap,,"S_C8, S_C9",C0603,Cap,36pF,2,,C0603C360K3HACAUTO,,,,,,10
Cap,,"S_C11, S_C14",C0603,Cap,100nF,2,,CL10B104KB8WPND,,,,,,10
Cap,,"S_C12, S_C15",C0603,Cap,1nF,2,,8.85012E+11,,,,,,10
Ferrite Bead,,S_FB1,C0603,Ferrite Bead,,1,,BLM18PG471SN1D,,,,,,5
10118194-0001LF,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",S_J1,AMPHENOL_10103592-0001LF,10118194-0001LF,,1,,10103592-0001LF,,,,,,5
SWD_10_PIN,,S_J2,IPC_5X2_1.27MM,SWD_10_PIN,,1,,FTSH-105-01-F-D-K,,,,,,5
LED,,"S_LED1, S_LED2",LED0805,LED,,2,,150080VS75000,,,,,,10
SCREW_HOLE,,"S_M1, S_M2, S_M3, S_M4",SCREW_M2,SCREW_HOLE,,4,,,,,,,,20
Header 10X2,"Header, 10-Pin, Dual row",S_P1,HDR2X10,Header 10X2,,1,,,,,,,,5
Header 3X2,"Header, 3-Pin, Dual row",S_P2,HDR2X3,Header 3X2,,1,,,,,,,,5
Res,,,R0603,Res,100K,1,,CR0603-JW-104ELF,,,,,,5
Res,,,R0603,Res,330,5,,CRT0603-FY-3300ELF,,,,,,25
Res,,,R0603,Res,1K,1,,RCA06031K00JNEA,,,,,,5
Res,,,R0603,Res,10K,3,,CRCW060310K0JNEBC,,,,,,15
Button,Push Button,S_SW1,STU-057A23AX,Button,,1,,STU-057A23AX,,,,,,5
CHERRY-MX,,"S_SW2, S_SW3",CHERRY_MX_1.0,CHERRY-MX,,2,,,,,,,,10
5.5V TVS Diode,,,SOT143,PRTR5V0U2X,,1,,PRTR5V0U2X,,,,,,5
MIC5365-3.3YC5-TR,Lin Reg 150mA SC-70-5,S_U2,SOT65P210X110-5N,MIC5365-3.3YC5-TR,,1,,MIC5365-3.3YC5-TR,,,,,,5
ATSAMD21EXXA/B/D,,S_U3,QFP80P900X900X120-32N,ATSAMD21EXXA/B/D,,1,,ATSAMD21EXXA/B/D,,,,,,5
XTAL,ECS-120-10-33B-CKM-TR,S_Y1,SMD-4,XTAL,,1,,ECS-120-10-33B-CKM-TR,,,,,,5
